uuid,sentence1,sentence2,similarity_score
284916bc-af7a-4740-8c9a-24f75c93c9ca,Ein Facebook-Status-Update posten,"PDA, Wie wird das Wetter am 20. März 2017 sein?",0
8ea3a0a0-58ca-4af3-9922-2d4329d7f23f,Welche Erinnerungen habe ich gesetzt?,Das ist zu hell.,0
50e67ecb-86e0-4611-96e6-0d0d14139f8b,"Ich möchte, dass du youtube startest",Um wie viel Uhr fährt der Zug in Penn Station ab?,0
41e326dd-1edd-4d3a-b509-711d89a96dd5,Bitte fügen Sie diese E-Mail zu meinen Kontakten hinzu,Sagen Sie meine Besprechung morgen ab.,0
5bed7a55-c676-4530-91f2-829045a3bd25,"Ich weiß das zu schätzen, das war wunderbare Arbeit.",Stehen Eier auf meiner Einkaufsliste?,0
04c44fd5-cce2-4a6b-a261-fb1c7367dea4,Ich möchte ein Zugticket nach LA buchen,Bitte schalte NPR auf dem Wohnzimmerlautsprecher ein.,0
efe99230-f3de-402e-a470-1c8490f74b9b,Ich möchte die Lautstärke der aktuellen Musik hören,Wie lautet das Rezept für gelben Reis?,0
e545ee97-b8ff-4f78-bade-a7906d54cf38,Erzähl mir das Neueste aus New York,Lassen Sie mich Popmusik oder ein Lied hören,0
07de160f-5865-4f26-a598-08f520ebff89,Kaffeemaschine einschalten,Nennen Sie den Wechselkurs zwischen US-Dollar und Indischer Rupie,0
03795c94-6f83-4a39-a36c-8bcc70c5f0c5,Was ist am 4. Dezember los?,Mach ein Turnier mit mir in Candy Crush,0
334f0a43-df31-4446-b647-578db481c5bb,Bitte schalten Sie die intelligente Steckdose aus,den heutigen Schlusskurs von GOOGL,0
4e9c62e9-f31d-4930-b79d-dc482e17dfc3,Prüfe meinen Posteingang,"Das ist hilfreich, danke, Olly.",0
4d337c12-0715-42c9-8c91-67b36dc1068a,"Was war der letzte Film, in dem Brad Pitt mitgespielt hat?",Zeig mir meine Wiedergabeliste,0
5fe94f37-79e7-4500-aee1-a705910d4651,GMT-Zeit,Was ist Computer(wort)?,0
66df5012-21ad-4beb-95ff-4e5e1c25335c,Wie ist das Wetter in Toronto heute,"PDA, setzen Sie Poker Face von Lady Gaga als nächstes in die Wiedergabeliste.",0
f7b9c15d-9a62-488b-86f0-9f9c9c9bb50f,"Alexa, Lichter runterfahren",Werden sie zu mir liefern?,0
5997f981-62d0-4c26-aecf-149df122ef57,"Ja, perfekte Reaktion auf das Kommando.","Sag mir, was auf deiner Liste steht.",0
10c9abac-faea-426b-80bf-76104d5571c9,"alexa, welche Nachrichten gibt es in meiner Gegend?",Bitte halt die Klappe.,0
93a88a6e-10f7-4ff5-a7ad-d1c2123c1365,nächstes Lied,Zurück zur letzten Episode dieses Podcasts.,1
8ef21cb5-6fd7-42a2-8e55-a91a2e56cca1,Eine Beschwerde twittern,"PDA, Welche Alarme haben Sie eingestellt?",0
6cd1545d-556c-4814-ade4-0d9ba0174995,Ist der 17-Uhr-Zug am Mittwoch nach Rockville pünktlich?,"Domino's hat doch auch was zum Mitnehmen, oder?",0
130bf56c-7915-4bef-b058-4d653c28c3a1,Brauche ich einen Mantel?,Welche Veranstaltungen habe ich in diesem Monat geplant.,0
f068d6c9-a11c-462b-8ea9-e1ca8e2eeb71,ist es dort kaltes Wetter?,Lesen Sie mir meine aktuelle Einkaufsliste vor.,0
57056564-8635-4253-b620-88edca300028,Wie ist der Status meiner Bestellung?,PDA Bitte stellen Sie die Farben meiner Lampen ein.,0
66b228ef-548f-4fff-9ce3-eca31735bb48,Wetter in Miami,"Olly, steht noch etwas auf der Liste?",0
b25c3493-aa76-4995-b9ca-53ed25775c86,"Sag dem Taxi, es soll mich um 16 Uhr abholen.",überprüfen und bestätigen Sie die Anweisung.,0
0626c1ba-14e4-4872-9000-7632cab2543a,Definieren Sie Geschwätzigkeit,Habe ich morgen von 12 bis 15 Uhr etwas vor?,0
6211de0b-6163-4e4e-90b9-80b0b15cd827,Bestelle bei Olive Garden eine Mahlzeit zum Mitnehmen.,"Erinnere mich heute Abend daran, meine Reinigung um 20 Uhr abzuholen.",0
c25c277f-91d1-44c5-ad37-55b6adb4efa8,Erinnere mich an den Geburtstag meiner Frau im Voraus.,"Tweet comcast und sag ihnen, dass ihr Service wieder nicht funktioniert.",0
77990b1d-3514-4d13-9bea-712ba36c9f0d,Bitte antworten Sie auf die Mail von Allen,Eine neue Liste erstellen,0
1764a3e6-80f5-4195-8d1a-aa1ca26007c6,Welcher Wochentag ist der 26.,"Kannst du sehen, ob John schon auf meine E-Mail geantwortet hat?",0
f02cd07a-ee69-4995-8a50-075b25af6893,"Suchen Sie mir einen Radiosender, der klassische Musik spielt.",Jede neue Mail von Jack,0
cbdf0cf3-cbcf-4b13-aa3a-914f5af737e7,Wie hoch ist der Mount Rushmore?,Buchen Sie mir bitte ein Zugticket nach Atlanta.,0
ade5cc7e-182b-4d43-8df9-d1afe51e5d78,zeige die Kontaktdetails von X,"Habe ich Sie gebeten, mich an etwas zu erinnern?",0
45e5c960-f030-4524-8d2d-7e923003c549,Treffen mit Joe nächste Woche Dienstag,Wie hoch ist der Mt. Everest?,0
2a131291-2ab6-4fd1-96e6-7f497c38d7ac,Wer ist die Ehefrau von Obama?,Bitte streichen Sie Bananen von meiner Einkaufsliste.,0
4ad0b024-542e-4e92-82a4-2cdbf5d1a95e,E-Mail an newmail@gmail.com senden,Bitte schalten Sie die wenmo-Steckdose aus/ein.,0
f22989be-35cf-4777-b9c0-31c14941f458,Bitte starten Sie die Wiedergabeliste Huey Lewis and The News.,"Wie backe ich die am besten schmeckenden Kekse, die es je auf dieser Erde gab?",0
dcb254a7-f6ba-4e35-b9a3-289da6d4f3ba,Könnten Sie mir die Zeit in London sagen?,Was bedeutet Kartoffel?,0
c5b372ac-a3a5-4e42-a9aa-b1b8921c8459,"nein, ich glaube, du hast das nicht richtig verstanden.",Streichen Sie mein Meeting-Ereignis am 19. März um 13.00 Uhr.,0
4d42e042-c637-4e8f-b8e5-2ec1cf2efc01,"Ich möchte, dass du das Radio abspielst",Filme von Tom Hanks,0
bf6682c6-3f66-40f3-9a2d-e1ebeed31fbc,Ersetze die Farbe von hell nach dunkel,Welches ist der kälteste Ort der Welt?,0
675e3b59-9c5a-4b28-b3c3-f2828496d161,Ich möchte keine weiteren Lieder dieser Art hören,Wie weit ist Seattle entfernt?,0
254b4a9e-ff32-40ad-9b4a-834ea5c9551e,Maroon 5 Wiedergabeliste abspielen,Musik von Taylor Swift abspielen,1
c2faf0f9-999e-4fc8-8728-0d5afe8f05b2,"Alexa, spiele mehr Musik dieser Art.",Schneit es gerade?,0
c5e562ca-fdbb-4c3f-93a3-aafc2d757842,Wie ist die Verkehrslage von hier nach Hause.,Wann habe ich das letzte Mal mit John gesprochen?,0
822055b4-1a26-4c0e-9ea9-db2ae056c773,nach lokalen Geschäften suchen,Spiele meine Lieblingsmusik gerade jetzt,0
0b0173e6-6648-4205-bffb-8bbd7b685d89,Bitte Ruhe für die nächste Stunde.,"Bitte sagen Sie mir, was auf meiner ToDo-Liste für heute steht.",0
50382534-d56c-4cd5-8ba4-3ba647385f70,E-Mail an Chelsea,Bitte setzen Sie eine Erinnerung in meinem Kalender für mein Meeting am 25. März.,0
5674bc9a-ee13-4956-b4c5-1540675d3aa7,Biografie von Dolly Parton,Überprüfen Sie meinen Posteingang auf neue E-Mails von Robert.,0
5e77577a-1974-44ae-b3d1-7cca65bb20f4,Umtausch Euro zu Dollar,Danke für Ihre Hilfe.,0
22806902-f85e-47f9-9b8e-750d3bc84766,was für ein sonniger Tag.,Erinnerung an das Mittagessen mit dem Chef um 12 Uhr einstellen,0
ef50a842-e681-4c9b-b2a3-62bfa0bb8823,"PDA, spiele meine Pop-Playlist.","Hey Olly, welche guten Filme kommen demnächst heraus?",0
f185ad75-9d9a-4e4b-9ef7-f6ca3c7d0448,hallo,Bitte Liste entfernen,0
8622b3d1-a3b4-4ec5-ab33-4bdbd5041916,Machen Sie die Lichter in meiner Wohnung gelb.,Wie sind die Wechselkurse zwischen den USA und China?,0
b419976c-cf50-4260-b99b-6d41a3e0b2b5,Wie spät ist es in China?,"Ich mag dich, hör einfach auf.",0
b3bb5d49-dbf9-4d83-8d88-73e6a8874a8a,"Leisemodus einschalten, bis ich von der Arbeit nach Hause komme.","Kalender öffnen Ereignis, Besprechung planen",0
87dec106-88cc-4892-8dc9-7bee7cd1edf7,Rufen Sie das nächstgelegene mexikanische Restaurant an.,Wie war der erste Präsident der USA?,0
73b44c7f-da9f-4b05-8236-7abeaf3511f5,Radiosender x starten,Ich habe eine Veranstaltung 8'O Uhr erinnern Sie mich,0
fcf0bec1-f677-4579-8650-cbb74e10f8c3,"Bitte erinnern Sie mich daran, dass ich jeden Montagmorgen am Sonntagabend zum Sport gehe.",Wie steht es mit Twitter?,0
c11d3bf6-2e5b-4139-b657-3513d4295df8,"Sag mir, wann der Zug nach New York fährt.","Wie lange dauert es, bis ich mein Essen erhalte?",0
5ec44613-9f02-46b4-9feb-e2b6c1619992,Ist der 13. November als Feiertag markiert?,E-Mail senden an joe@aol.com,0
b91575f7-f469-41c5-b617-b47d658bb149,Wie spät ist es an Ostern?,die Antwort ist bestätigt.,0
322e73f4-fe1a-411c-81fc-350450e8dab6,Wie viel Uhr ist es in Hongkong?,Lokale Veranstaltungen finden,0
e0855ac5-1e57-4179-a187-014a822435c8,"Alexa, schicke Mama die folgende E-Mail",Wie viele Kontinente gibt es?,0
ee88c22b-0a05-4635-ab40-7d145eb46228,PDA löschen Sie Äpfel von meiner Einkaufsliste,Was sollte ich zum Abendessen kochen?,1
7747a3b1-0c05-4234-a66b-f6fb4f4d4ef5,"Für mich ist alles in Ordnung, Olly.","ähh nein, du hast mir falsche Informationen gegeben.",0
350bd541-ef8f-4679-a3a5-5b12019ff5c6,play country radio,Erhöhen Sie die Lautstärke auf Maximum,0
59af5a14-26e8-421a-b445-56d6db5358b1,Mein Tag war sehr geschäftig,In welcher Stadt wurde Elvis geboren?,0
043909b6-42d1-42dc-869b-cfd7eff1a47d,zeige umrechnungskurs von usd und eur,würden sie bitte noch einmal sagen.,0
02881bfa-b1ce-4852-8ad1-852a19f95d6d,Verringern Sie die Lautstärke um 50%.,Wie hoch ist der Aktienkurs der Firma X?,0
ce12e789-4d55-4600-a432-48e29616d766,"Können Sie mir sagen, welche Besprechungen ich nächste Woche habe?",Gibt es etwas Besonderes in der Politik?,0
1026db09-39ba-4dc8-890e-785b12ad9b1a,"Können Sie die Kaffeemaschine so einstellen, dass sie an jedem Wochentag um x Uhr Kaffee macht?",Was bedeutet 1+1gleich?,0
8ec24e5b-4d36-4983-8ac4-645e8a6a3802,Bestellen Sie bei Dominos eine große Peperoni-Pizza zum Mitnehmen.,Eine neue Liste mit Lebensmitteleinkäufen erstellen,1
f2ecb576-c5a0-4dcd-a910-53d286693315,Informieren Sie mich über den Anstieg und Rückgang des Aktienkurses dieser Gesellschaft,Meine Spotify-Tanz-Wiedergabeliste abspielen,0
51c24cbc-c362-4c16-b952-bdab39f1db45,PDA bitte Wechselkurse prüfen,Regnet es heute?,0
eb1f9b23-7152-4ac2-ac1c-33980835b10a,Muss ich eine Jacke mitnehmen?,Ist Meryl Streep eine Schauspielerin oder eine Sängerin?,0
84634767-de9a-4c43-a45b-8c5bc61bb9fb,Spielen Sie Songs aus dem R&B- und Soul-Genre,Tröste meine Ohren mit Arijit Singh,3
bb65b98c-5a3c-4962-ac56-646405cdf653,Status ändern,Erinnern Sie mich an mein Treffen am...,0
55592b03-dfa3-482a-95e5-bd61e8344527,Welcher Tag der Woche ist der 1. März?,Spielen Sie den letzten Radiosender.,0
985084c3-34f8-4b9c-b8fc-69a09b673917,Lied abspielen,Wie viele Meilen breit ist die breiteste Stelle des Grand Canyon?,0
216536f8-fb2a-420e-b946-20d954b72910,Wie viele Leute kommen heute Abend zum Essen?,Wetterbericht jetzt,0
13b0d473-2645-456a-8f86-9900a9c12750,Kannst du meine Favoriten-Wiedergabeliste abspielen.,"Wie viel Verkehr gibt es normalerweise in Atlanta, Georgia?",0
a2fa3eee-f4e4-4e4a-8527-87f803df3a25,Adele Hallo abspielen,Wie viele Flüsse gibt es auf der Welt?,0
a04dc943-4da2-4e9a-a4f1-93b7802ba963,Radio 95.5,fangen wir von vorne an.,0
7498d629-60ec-419b-b9d2-8545e2cf92ac,Wo sollte ich heute Abend in San Francisco essen gehen?,E-Mail lesen,0
663404bc-9e1a-482e-9dcb-29e6ac3a1538,Welches sind die besten italienischen Restaurants in Los Angeles?,Ich möchte bitte Heavy Metal hören.,0
1bf5b1ca-8572-4847-b07f-a63a8513264c,Lasst uns Poker spielen.,Wie koche ich Butterhähnchen?,0
1ac9eeab-2e19-414b-a050-14989bdfdbd3,Ich möchte 80er Jahre Popmusik hören,Sprechen Sie bitte lauter.,0
9b02a2d1-4b94-4f79-b005-4100e57bd390,Wie war der Tag,Bitte reservieren Sie jetzt einen Uber,0
db34484e-735b-4143-b5ee-6a85b25f8111,Haben Sie meine letzte Frage richtig verstanden?,Poste dieses Video auf Facebook.,0
07f67e60-d57b-4d31-b4e2-25c753ca5009,Eine sich wiederholende Erinnerung für morgen erstellen,"Prüfen Sie, ob meine Mutter mir eine E-Mail geschickt hat.",0
43cad94b-214f-41c0-86c3-dc1cd6cc09d1,Wie spät ist es in Chicago?,Zeigen Sie mir die Termine in meinem Arbeitskalender für die nächste Woche.,0
f6f85931-b202-4332-a96a-8dd48476a029,Gibt es irgendwelche Veranstaltungen in Mailand?,Lautstärke erhöhen,0
06a1deeb-c557-40a4-aee5-5321c3ba55d0,Wie groß ist der Zeitunterschied zwischen Kalifornien und New York?,Wie spät ist es jetzt in Neu-Delhi?,1
6dc6e063-f1f4-4843-b26f-3743387723cf,Ist der Yellowstone Park der größte Park?,Wie viel kosten Zugtickets nach Las Vegas?,0
0616d9a2-e03f-4958-89b0-4f4254899243,versuchen Sie es bitte noch einmal.,Setze Yoga auf ein sich jeden Montag wiederholendes Ereignis,0
403979b0-bc2e-44fe-a5b6-150df73ff11d,"Es tut mir leid, aber du hast es vermasselt.",Lautstärke lauter bitte,0
dc1dcf6e-d249-47d1-b03f-2c824c210cae,Datum und Uhrzeit mit diesen Personen in den Kalender eintragen,Lied wiederholen,0
af369b7f-bdae-45ad-aa58-e3c13d99251a,"Ich hatte einen langsamen Tag mit schlechtem Wetter, Olly.",Spielen Sie mir den Top 100 Radiosender vor.,0
260132ce-79ca-46ef-9711-01b4b8bf3552,Welcher Tag ist der 5.?,Sollte ich ins Kino oder zum Essen gehen?,0
32c9237b-de7d-4c2c-941e-e0da75ed6611,"du bist mein held, danke, olly.",In welchem Genre wird dieser Song gerade gespielt?,0
2b76e8ef-5b49-4713-bcad-9d5b24bcc90a,Ich möchte mir jetzt einen Podcast anhören.,In welcher Zeitzone befinden wir uns? Bitte auf die aktuelle Zeit umstellen,0
be4de974-8c66-4674-85f7-c2274b2da262,Bitte informieren Sie mich über die Verkehrslage,Lebensmittelliste,0
63446170-6d9a-4046-9183-0df13fe74394,Gib mir die Zeit in Washington jetzt,Wird es am 22. regnen?,0
ea84c52b-f787-4b8a-84b4-e2522a5e6055,Dieser Song ist nicht sehr gut,Wie sieht mein Kalender für die nächste Woche aus?,0
a2649918-c654-4479-b7d8-c1a9e82e20a6,Kann das Licht aufgedreht werden?,Ein Ereignis in meinem Kalender wiederholen,0
b3bae3b9-0c2d-4ee1-8442-e7cb6e85a952,"Liste die Artikel auf meiner Einkaufsliste auf, Olly",ein neues Ereignis einstellen,0
54bb0141-0c5b-49eb-9439-b120498b6686,Finden Sie das Rezept für einen Kuchen,Ausgezeichnet.,0
efa2cbd5-ea3e-497d-bfe0-3436d122f3c6,Wie oft könnte die Größe von Texas in die Größe von Alaska passen?,Wie hoch ist der Wert des Yen im Moment?,0
a3b54427-5ebf-49be-a022-34187ccd5ff8,Bitte erklären Sie mir Ihre Antworten weiter.,Setzen Sie diesen Termin auf Wiederholung im Kalender für denselben Wochentag in diesem Monat.,0
06072385-de59-472c-9b31-4ddbc3876eeb,"Du hast es richtig gemacht, vielen Dank, Olly.","Olly, was weißt du über Eminem?",0
7896febc-b40c-4b12-b1e2-ae89b9366b56,Erzählen Sie mir von Mary S. in meinen Kontakten,Was ist in der Stadt los?,0
473839b0-45a7-40ca-96e3-f401d0f80b55,Wie sieht mein Zeitplan für 12 bis 16 Uhr aus?,Wie lang ist der Song?,0
ae990d06-6640-4d55-99bb-ebe9f05d7682,Mach meine Lichter blau.,Stummschalten für 20 Minuten.,0
90face59-8e03-4447-af8d-79cfca835c38,Wann wurde dieses Lied erstmals aufgenommen?,weiter lesen,0
9e275971-1b57-45b4-a157-9478b1bac038,Finde den aktuell gespielten Song,Sind für diese Woche Regen oder Schnee vorhergesagt?,0
f753210f-6552-40c5-ae3c-697ac1ba8c14,E-Mail an John Smith.,Erzählen Sie mir von diesem Lied.,0
12ed66a6-f6c8-4162-bafa-8689f3774f05,ist es heute sonnig?,schalte den Roomba ein,0
adea2a00-e3e9-456c-a92f-582e46489b12,Streiche meinen Zahnarzttermin.,Kontakte einchecken,0
ac5f7368-1375-435d-92e8-94fe4329d8af,Wann ist der Geburtstag von Jennifer Aniston?,"Erinnern Sie mich jeden zweiten Mittwoch daran, Lebensmittel einzukaufen.",0
7b65f719-a03b-4903-b606-1a1d4e2e55dc,Hip Hop Songs abspielen,Hat Tom mir gemailt?,0
c5f6342f-2e33-491e-bda7-8f8d4c17e5d9,"Hallo PDA, zeige meine Listen an.",Wie weit ist Walmart von hier entfernt?,0
0a55748d-7e6d-4c38-9b24-3ea40a7c16e6,Wie viele Tassen enthält ein Quart?,Alarm von 7.30 Uhr am Montag entfernen,0
49dacabe-fdef-4367-8eb2-73ad1e02babf,Bitte spielen Sie Rap-Musik.,es ist heute bewölkt.,0
cc9380eb-ea91-4f69-9694-4c1f4079d9cd,Was sind die neuesten Nachrichten über die US-Wahlen?,"ja, die Antwort war großartig.",0
db251c22-a7c9-4365-83e4-d94462f561a5,Alle Lebensmittel mit dem Präfix trocken aus der Liste entfernen,"Ich glaube, du hast die Aufgabe falsch gelöst.",0
6f516920-a688-4a1d-81cd-1dbf1b9769d1,Wann fährt mein Zug ab?,Beleuchtungsfarben ändern,0
b0526c35-6598-4dfe-a21f-b4c3acb96845,Aus welchem Land stammte Einstein?,Soll ich meinen Schal und meine Handschuhe für heute Abend herausholen?,0
770026ae-fd56-49a3-ad8c-c580937bac5e,Scanne das Radio nach Howard Stern,Spielt Major Tom von David Bowie,1
8f759c40-7280-4342-b358-ffb901199341,Habe ich E-Mails von Sarah erhalten?,"Olly, was muss ich heute noch erledigen?",0
275eb475-047b-4484-9e47-c8a5c75274ae,Zeit zum Aufwachen,Ist IBM heute im Plus?,0
8963687b-1dcb-4172-9d6d-0714d8b879ee,wieder anfangen Buch xy,Backzeiten für Hähnchen im Backofen.,0
acdc566f-7986-437e-b446-92550b60f708,aktuelle Zeit in NY,Wann ist mein Jahrestag?,0
d6b4852f-2b92-4937-9ec1-677cf2e44fdc,"PDA, wie alt war Madonna, als ihr erster Hit herauskam?","Schreibe auf Twitter, dass der Kundenservice in dieser Filiale grauenhaft ist",0
6eec1cf6-2c22-4c57-bec9-178a61f25ec1,Muss ich heute einen Regenschirm mit zur Arbeit nehmen?,Bitte kaufen Sie ein Zugticket für dieses Wochenende,0
21be7ff9-60dc-4c74-a951-e8bdddf5a3f6,Ich möchte Essen bestellen,Was ist ein Rezept,1
79530eec-3b78-48b0-a1f9-7065f5376231,Wer ist der Premierminister von Russland,Beschwerde an Burger King twittern,0
eab3b7ae-b7d8-468a-96cb-2670fece513b,Um wie viel Uhr ist mein Zahnarzttermin am Montag?,Den Song aus dem Hörbuch von The Beatles fortsetzen,0
79e2cb51-ae91-403a-8c79-cb0eeddd26c3,Wie spät ist es im Osten?,Wer ist der Songwriter?,0
aef1057e-d183-4025-ace3-ad77fcc6ecc7,Vorbereitung auf das bevorstehende Treffen vor der angegebenen Zeit,Tweet Beschwerde an amazon Produkte,0
a053de82-83a6-4a71-9215-0da61f8eee25,wer ist der Künstler,Sagen Sie mir die neuesten Nachrichten über den Trump,0
3d06f87f-c1b8-4e7b-8086-c92da30d6040,Gibt es eine interessante Veranstaltung in meiner Nähe?,Lautsprecher ausschalten.,0
91ad357d-97b6-48a2-9502-5822824660cf,Könnten Sie das bitte näher erläutern?,Ist es windig draußen?,0
6241027e-57a7-4a89-8520-44207c69b323,Wo soll ich am Mittwoch von 14 bis 11 Uhr sein?,Bitte poste einen Status auf Twitter. Sage:,0
128bbf2c-5437-4307-b65f-44477c38554f,Oh nein.,alexa wie nennt man den größten Ozean der Welt?,0
c88459a4-ffa3-4890-a3f7-e25fc272b13a,Werde ich heute Nachmittag meine Schneestiefel brauchen?,bitte Lichter weniger hell,0
f691f729-2334-419e-8202-d19f512cb649,Mehr Informationen zu dieser Veranstaltung...,Zeigen Sie mir die Wegbeschreibung zum nächsten Starbucks,0
2f23eee6-10c7-4648-85dd-71336176cda9,"Erinnere mich daran, meine Oma diesen Sonntag anzurufen",Benachrichtigen Sie mich über meine Treffen nach einigen Tagen,1
a6c1a00f-25fb-4d28-a1f3-f49639baa632,Ich brauche ein Rezept für Spaghetti,Wie komme ich nach Brighton?,0
a99cec8a-a906-4bab-a62e-236c3a99bde2,Kann ich etwas Britney Spears hören?,"Nein, das ist nicht das, was ich gesagt habe.",0
fa0f970c-4edd-4530-818f-ec1c82ff9bc5,Schalte das Garagenlicht aus und das Licht im Arbeitszimmer bitte auf orange.,erinnere mich morgen daran,0
7e39e945-8221-4e11-ab21-1a48f02320e6,"Was ist los, PDA?",Wann ist Halloween?,0
d7b7bffc-93b5-4749-b800-435bc09bac06,olly erinnere mich heute Abend an das morgige Treffen,"Alexa, sagen Sie mir den Wechselkurs von 10 Dollar in Euro?",0
a1cc5f18-9ff7-4e68-9f2c-60380a29bdc7,Mein Wochenplan,Wer ist das im Radio?,0
e188c070-660d-4600-8085-e030bc3e550c,denselben Song 10 Mal wiederholen,"Erinnern Sie mich daran, meine Medikamente in den nächsten zwei Wochen jeden Tag um 19 Uhr einzunehmen.",0
a7196526-6c14-4673-8b50-a01c17af8a6a,Wie brate ich ein Steak medium rare?,Wie viele neue E-Mails befinden sich in meiner Google Mail?,0
c282955e-3fac-4249-a58e-9d4b1bfe4d57,Nennen Sie mir die Beschreibung eines Laptop-Schaltkreises,Musik abspielen,0
a3fbd1a7-3d1d-425a-b9af-319df3492e07,"Olly, lies mir die aktuellsten Nachrichten der BBC vor.",Letzte Nachricht wiederholen,2
72616626-39e7-4eb1-addb-b302583847eb,Um wie viel Uhr ist die morgige Besprechung?,Worum handelt es sich bei diesem Objekt?,0
10e18e44-97ce-449e-ac8e-4199bf418620,Spielen Sie den Celine Dion-Song aus dem Film Titanic ab.,Ich möchte die Aktien von Amazon kennen,0
eb26996d-b88a-466c-8cc1-5f21e9907a7f,Bringen Sie mich zum nächstgelegenen Bahnhof,ich wüsste es nicht.,0
3f92a97b-25a3-442e-bcab-77407d92045d,Von Michael Jackson gewonnene Auszeichnungen,"Alle E-Mails, die täglich zwischen 22.00 und 7.00 Uhr eingehen, müssen beantwortet werden.",0
4c08d501-64ac-4067-93c5-612e81c77acc,"Welche Musik wird gerade auf 99,9 FM gespielt?",Gehe zu den sozialen Medien und poste den folgenden Status,0
f8cc61aa-fd4e-42a9-a82c-368a12bb68a8,Aktienkurs für Google.,Gibt es einen Wecker für 10 Uhr?,0
